Test Data File:/COMP3850/pulsarBinaryData/allpulsar5.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.977150387815067   	Random
02. Frequency Test within a Block                 	0.039782045620632096	Random
03. Run Test                                      	1.9759929874080484e-05	Non-Random
04. Longest Run of Ones in a Block                	0.08551198882501695 	Random
05. Binary Matrix Rank Test                       	0.6937201409888837  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.06483299053956816 	Random
07. Non-Overlapping Template Matching Test        	0.03232182875280618 	Random
08. Overlapping Template Matching Test            	0.2957082753892122  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.029634979824202188	Random
11. Serial test:
													0.8532145393028301  	Random
													0.9632827394042346  	Random
12. Approximate Entropy Test                      	0.9558466733199943  	Random
13. Cummulative Sums (Forward) Test               	0.7605510177406178  	Random
14. Cummulative Sums (Reverse) Test               	0.7605510177406178  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	23.64796530857241   	0.00025367293074047713	Non-Random
				-3        	13.496941176470587  	0.019141327544292226	Random
				-2        	7.900508351488744   	0.16180471851033335 	Random
				-1        	10.294117647058824  	0.06731779044397848 	Random
				+1        	1.2352941176470589  	0.9414468932569737  	Random
				+2        	1.137981118373275   	0.9506870483833245  	Random
				+3        	8.021552941176472   	0.1550517960762012  	Random
				+4        	12.631379082245143  	0.02708923184894806 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	21                  	0.8678594340383505  	Random
				-8.0      	23                  	0.7904822281393452  	Random
				-7.0      	26                  	0.6685882581247791  	Random
				-6.0      	28                  	0.5694942779917189  	Random
				-5.0      	34                  	0.3311374592689704  	Random
				-4.0      	37                  	0.19483514774305022 	Random
				-3.0      	36                  	0.1450519420995288  	Random
				-2.0      	34                  	0.09232654595631032 	Random
				-1.0      	24                  	0.2299490567942134  	Random
				+1.0      	25                  	0.17006696145390476 	Random
				+2.0      	31                  	0.1656838389130031  	Random
				+3.0      	23                  	0.645387747869369   	Random
				+4.0      	17                  	1.0                 	Random
				+5.0      	12                  	0.7750075826013058  	Random
				+6.0      	8                   	0.6416601266046645  	Random
				+7.0      	12                  	0.8120162482472952  	Random
				+8.0      	18                  	0.9646806204584191  	Random
				+9.0      	22                  	0.8352503751168436  	Random
